Name,Code,Continent,Region,Population,City Name
Aruba,ABW,North America,Caribbean,103000,Oranjestad
Afghanistan,AFG,Asia,Southern and Central Asia,22720000,Kabul
Angola,AGO,Africa,Central Africa,12878000,Luanda
Anguilla,AIA,North America,Caribbean,8000,The Valley
Albania,ALB,Europe,Southern Europe,3401200,Tirana
Andorra,AND,Europe,Southern Europe,78000,Andorra la Vella
Netherlands Antilles,ANT,North America,Caribbean,217000,Willemstad
United Arab Emirates,ARE,Asia,Middle East,2441000,Abu Dhabi
Argentina,ARG,South America,South America,37032000,Buenos Aires
Armenia,ARM,Asia,Middle East,3520000,Yerevan
American Samoa,ASM,Oceania,Polynesia,68000,Fagatogo
Antigua and Barbuda,ATG,North America,Caribbean,68000,Saint John´s
Australia,AUS,Oceania,Australia and New Zealand,18886000,Canberra
Austria,AUT,Europe,Western Europe,8091800,Wien
Azerbaijan,AZE,Asia,Middle East,7734000,Baku
Burundi,BDI,Africa,Eastern Africa,6695000,Bujumbura
Belgium,BEL,Europe,Western Europe,10239000,Bruxelles [Brussel]
Benin,BEN,Africa,Western Africa,6097000,Porto-Novo
Burkina Faso,BFA,Africa,Western Africa,11937000,Ouagadougou
Bangladesh,BGD,Asia,Southern and Central Asia,129155000,Dhaka
Bulgaria,BGR,Europe,Eastern Europe,8190900,Sofija
Bahrain,BHR,Asia,Middle East,617000,al-Manama
Bahamas,BHS,North America,Caribbean,307000,Nassau
Bosnia and Herzegovina,BIH,Europe,Southern Europe,3972000,Sarajevo
Belarus,BLR,Europe,Eastern Europe,10236000,Minsk
Belize,BLZ,North America,Central America,241000,Belmopan
Bermuda,BMU,North America,North America,65000,Hamilton
Bolivia,BOL,South America,South America,8329000,La Paz
Brazil,BRA,South America,South America,170115000,Brasília
Barbados,BRB,North America,Caribbean,270000,Bridgetown
Brunei,BRN,Asia,Southeast Asia,328000,Bandar Seri Begawan
Bhutan,BTN,Asia,Southern and Central Asia,2124000,Thimphu
Botswana,BWA,Africa,Southern Africa,1622000,Gaborone
Central African Republic,CAF,Africa,Central Africa,3615000,Bangui
Canada,CAN,North America,North America,31147000,Ottawa
Cocos (Keeling) Islands,CCK,Oceania,Australia and New Zealand,600,West Island
Switzerland,CHE,Europe,Western Europe,7160400,Bern
Chile,CHL,South America,South America,15211000,Santiago de Chile
China,CHN,Asia,Eastern Asia,1277558000,Peking
Côte d’Ivoire,CIV,Africa,Western Africa,14786000,Yamoussoukro
Cameroon,CMR,Africa,Central Africa,15085000,Yaoundé
"Congo, The Democratic Republic of the",COD,Africa,Central Africa,51654000,Kinshasa
Congo,COG,Africa,Central Africa,2943000,Brazzaville
Cook Islands,COK,Oceania,Polynesia,20000,Avarua
Colombia,COL,South America,South America,42321000,Santafé de Bogotá
Comoros,COM,Africa,Eastern Africa,578000,Moroni
Cape Verde,CPV,Africa,Western Africa,428000,Praia
Costa Rica,CRI,North America,Central America,4023000,San José
Cuba,CUB,North America,Caribbean,11201000,La Habana
Christmas Island,CXR,Oceania,Australia and New Zealand,2500,Flying Fish Cove
Cayman Islands,CYM,North America,Caribbean,38000,George Town
Cyprus,CYP,Asia,Middle East,754700,Nicosia
Czech Republic,CZE,Europe,Eastern Europe,10278100,Praha
Germany,DEU,Europe,Western Europe,82164700,Berlin
Djibouti,DJI,Africa,Eastern Africa,638000,Djibouti
Dominica,DMA,North America,Caribbean,71000,Roseau
Denmark,DNK,Europe,Nordic Countries,5330000,København
Dominican Republic,DOM,North America,Caribbean,8495000,Santo Domingo de Guzmán
Algeria,DZA,Africa,Northern Africa,31471000,Alger
Ecuador,ECU,South America,South America,12646000,Quito
Egypt,EGY,Africa,Northern Africa,68470000,Cairo
Eritrea,ERI,Africa,Eastern Africa,3850000,Asmara
Western Sahara,ESH,Africa,Northern Africa,293000,El-Aaiún
Spain,ESP,Europe,Southern Europe,39441700,Madrid
Estonia,EST,Europe,Baltic Countries,1439200,Tallinn
Ethiopia,ETH,Africa,Eastern Africa,62565000,Addis Abeba
Finland,FIN,Europe,Nordic Countries,5171300,Helsinki [Helsingfors]
Fiji Islands,FJI,Oceania,Melanesia,817000,Suva
Falkland Islands,FLK,South America,South America,2000,Stanley
France,FRA,Europe,Western Europe,59225700,Paris
Faroe Islands,FRO,Europe,Nordic Countries,43000,Tórshavn
"Micronesia, Federated States of",FSM,Oceania,Micronesia,119000,Palikir
Gabon,GAB,Africa,Central Africa,1226000,Libreville
United Kingdom,GBR,Europe,British Islands,59623400,London
Georgia,GEO,Asia,Middle East,4968000,Tbilisi
Ghana,GHA,Africa,Western Africa,20212000,Accra
Gibraltar,GIB,Europe,Southern Europe,25000,Gibraltar
Guinea,GIN,Africa,Western Africa,7430000,Conakry
Guadeloupe,GLP,North America,Caribbean,456000,Basse-Terre
Gambia,GMB,Africa,Western Africa,1305000,Banjul
Guinea-Bissau,GNB,Africa,Western Africa,1213000,Bissau
Equatorial Guinea,GNQ,Africa,Central Africa,453000,Malabo
Greece,GRC,Europe,Southern Europe,10545700,Athenai
Grenada,GRD,North America,Caribbean,94000,Saint George´s
Greenland,GRL,North America,North America,56000,Nuuk
Guatemala,GTM,North America,Central America,11385000,Ciudad de Guatemala
French Guiana,GUF,South America,South America,181000,Cayenne
Guam,GUM,Oceania,Micronesia,168000,Agaña
Guyana,GUY,South America,South America,861000,Georgetown
Hong Kong,HKG,Asia,Eastern Asia,6782000,Victoria
Honduras,HND,North America,Central America,6485000,Tegucigalpa
Croatia,HRV,Europe,Southern Europe,4473000,Zagreb
Haiti,HTI,North America,Caribbean,8222000,Port-au-Prince
Hungary,HUN,Europe,Eastern Europe,10043200,Budapest
Indonesia,IDN,Asia,Southeast Asia,212107000,Jakarta
India,IND,Asia,Southern and Central Asia,1013662000,New Delhi
Ireland,IRL,Europe,British Islands,3775100,Dublin
Iran,IRN,Asia,Southern and Central Asia,67702000,Teheran
Iraq,IRQ,Asia,Middle East,23115000,Baghdad
Iceland,ISL,Europe,Nordic Countries,279000,Reykjavík
Israel,ISR,Asia,Middle East,6217000,Jerusalem
Italy,ITA,Europe,Southern Europe,57680000,Roma
Jamaica,JAM,North America,Caribbean,2583000,Kingston
Jordan,JOR,Asia,Middle East,5083000,Amman
Japan,JPN,Asia,Eastern Asia,126714000,Tokyo
Kazakstan,KAZ,Asia,Southern and Central Asia,16223000,Astana
Kenya,KEN,Africa,Eastern Africa,30080000,Nairobi
Kyrgyzstan,KGZ,Asia,Southern and Central Asia,4699000,Bishkek
Cambodia,KHM,Asia,Southeast Asia,11168000,Phnom Penh
Kiribati,KIR,Oceania,Micronesia,83000,Bairiki
Saint Kitts and Nevis,KNA,North America,Caribbean,38000,Basseterre
South Korea,KOR,Asia,Eastern Asia,46844000,Seoul
Kuwait,KWT,Asia,Middle East,1972000,Kuwait
Laos,LAO,Asia,Southeast Asia,5433000,Vientiane
Lebanon,LBN,Asia,Middle East,3282000,Beirut
Liberia,LBR,Africa,Western Africa,3154000,Monrovia
Libyan Arab Jamahiriya,LBY,Africa,Northern Africa,5605000,Tripoli
Saint Lucia,LCA,North America,Caribbean,154000,Castries
Liechtenstein,LIE,Europe,Western Europe,32300,Vaduz
Sri Lanka,LKA,Asia,Southern and Central Asia,18827000,Colombo
Lesotho,LSO,Africa,Southern Africa,2153000,Maseru
Lithuania,LTU,Europe,Baltic Countries,3698500,Vilnius
Luxembourg,LUX,Europe,Western Europe,435700,Luxembourg [Luxemburg/Lëtzebuerg]
Latvia,LVA,Europe,Baltic Countries,2424200,Riga
Macao,MAC,Asia,Eastern Asia,473000,Macao
Morocco,MAR,Africa,Northern Africa,28351000,Rabat
Monaco,MCO,Europe,Western Europe,34000,Monaco-Ville
Moldova,MDA,Europe,Eastern Europe,4380000,Chisinau
Madagascar,MDG,Africa,Eastern Africa,15942000,Antananarivo
Maldives,MDV,Asia,Southern and Central Asia,286000,Male
Mexico,MEX,North America,Central America,98881000,Ciudad de México
Marshall Islands,MHL,Oceania,Micronesia,64000,Dalap-Uliga-Darrit
Macedonia,MKD,Europe,Southern Europe,2024000,Skopje
Mali,MLI,Africa,Western Africa,11234000,Bamako
Malta,MLT,Europe,Southern Europe,380200,Valletta
Myanmar,MMR,Asia,Southeast Asia,45611000,Rangoon (Yangon)
Mongolia,MNG,Asia,Eastern Asia,2662000,Ulan Bator
Northern Mariana Islands,MNP,Oceania,Micronesia,78000,Garapan
Mozambique,MOZ,Africa,Eastern Africa,19680000,Maputo
Mauritania,MRT,Africa,Western Africa,2670000,Nouakchott
Montserrat,MSR,North America,Caribbean,11000,Plymouth
Martinique,MTQ,North America,Caribbean,395000,Fort-de-France
Mauritius,MUS,Africa,Eastern Africa,1158000,Port-Louis
Malawi,MWI,Africa,Eastern Africa,10925000,Lilongwe
Malaysia,MYS,Asia,Southeast Asia,22244000,Kuala Lumpur
Mayotte,MYT,Africa,Eastern Africa,149000,Mamoutzou
Namibia,NAM,Africa,Southern Africa,1726000,Windhoek
New Caledonia,NCL,Oceania,Melanesia,214000,Nouméa
Niger,NER,Africa,Western Africa,10730000,Niamey
Norfolk Island,NFK,Oceania,Australia and New Zealand,2000,Kingston
Nigeria,NGA,Africa,Western Africa,111506000,Abuja
Nicaragua,NIC,North America,Central America,5074000,Managua
Niue,NIU,Oceania,Polynesia,2000,Alofi
Netherlands,NLD,Europe,Western Europe,15864000,Amsterdam
Norway,NOR,Europe,Nordic Countries,4478500,Oslo
Nepal,NPL,Asia,Southern and Central Asia,23930000,Kathmandu
Nauru,NRU,Oceania,Micronesia,12000,Yaren
New Zealand,NZL,Oceania,Australia and New Zealand,3862000,Wellington
Oman,OMN,Asia,Middle East,2542000,Masqat
Pakistan,PAK,Asia,Southern and Central Asia,156483000,Islamabad
Panama,PAN,North America,Central America,2856000,Ciudad de Panamá
Pitcairn,PCN,Oceania,Polynesia,50,Adamstown
Peru,PER,South America,South America,25662000,Lima
Philippines,PHL,Asia,Southeast Asia,75967000,Manila
Palau,PLW,Oceania,Micronesia,19000,Koror
Papua New Guinea,PNG,Oceania,Melanesia,4807000,Port Moresby
Poland,POL,Europe,Eastern Europe,38653600,Warszawa
Puerto Rico,PRI,North America,Caribbean,3869000,San Juan
North Korea,PRK,Asia,Eastern Asia,24039000,Pyongyang
Portugal,PRT,Europe,Southern Europe,9997600,Lisboa
Paraguay,PRY,South America,South America,5496000,Asunción
Palestine,PSE,Asia,Middle East,3101000,Gaza
French Polynesia,PYF,Oceania,Polynesia,235000,Papeete
Qatar,QAT,Asia,Middle East,599000,Doha
Réunion,REU,Africa,Eastern Africa,699000,Saint-Denis
Romania,ROM,Europe,Eastern Europe,22455500,Bucuresti
Russian Federation,RUS,Europe,Eastern Europe,146934000,Moscow
Rwanda,RWA,Africa,Eastern Africa,7733000,Kigali
Saudi Arabia,SAU,Asia,Middle East,21607000,Riyadh
Sudan,SDN,Africa,Northern Africa,29490000,Khartum
Senegal,SEN,Africa,Western Africa,9481000,Dakar
Singapore,SGP,Asia,Southeast Asia,3567000,Singapore
Saint Helena,SHN,Africa,Western Africa,6000,Jamestown
Svalbard and Jan Mayen,SJM,Europe,Nordic Countries,3200,Longyearbyen
Solomon Islands,SLB,Oceania,Melanesia,444000,Honiara
Sierra Leone,SLE,Africa,Western Africa,4854000,Freetown
El Salvador,SLV,North America,Central America,6276000,San Salvador
San Marino,SMR,Europe,Southern Europe,27000,San Marino
Somalia,SOM,Africa,Eastern Africa,10097000,Mogadishu
Saint Pierre and Miquelon,SPM,North America,North America,7000,Saint-Pierre
Sao Tome and Principe,STP,Africa,Central Africa,147000,São Tomé
Suriname,SUR,South America,South America,417000,Paramaribo
Slovakia,SVK,Europe,Eastern Europe,5398700,Bratislava
Slovenia,SVN,Europe,Southern Europe,1987800,Ljubljana
Sweden,SWE,Europe,Nordic Countries,8861400,Stockholm
Swaziland,SWZ,Africa,Southern Africa,1008000,Mbabane
Seychelles,SYC,Africa,Eastern Africa,77000,Victoria
Syria,SYR,Asia,Middle East,16125000,Damascus
Turks and Caicos Islands,TCA,North America,Caribbean,17000,Cockburn Town
Chad,TCD,Africa,Central Africa,7651000,N´Djaména
Togo,TGO,Africa,Western Africa,4629000,Lomé
Thailand,THA,Asia,Southeast Asia,61399000,Bangkok
Tajikistan,TJK,Asia,Southern and Central Asia,6188000,Dushanbe
Tokelau,TKL,Oceania,Polynesia,2000,Fakaofo
Turkmenistan,TKM,Asia,Southern and Central Asia,4459000,Ashgabat
East Timor,TMP,Asia,Southeast Asia,885000,Dili
Tonga,TON,Oceania,Polynesia,99000,Nuku´alofa
Trinidad and Tobago,TTO,North America,Caribbean,1295000,Port-of-Spain
Tunisia,TUN,Africa,Northern Africa,9586000,Tunis
Turkey,TUR,Asia,Middle East,66591000,Ankara
Tuvalu,TUV,Oceania,Polynesia,12000,Funafuti
Taiwan,TWN,Asia,Eastern Asia,22256000,Taipei
Tanzania,TZA,Africa,Eastern Africa,33517000,Dodoma
Uganda,UGA,Africa,Eastern Africa,21778000,Kampala
Ukraine,UKR,Europe,Eastern Europe,50456000,Kyiv
Uruguay,URY,South America,South America,3337000,Montevideo
United States,USA,North America,North America,278357000,Washington
Uzbekistan,UZB,Asia,Southern and Central Asia,24318000,Toskent
Holy See (Vatican City State),VAT,Europe,Southern Europe,1000,Città del Vaticano
Saint Vincent and the Grenadines,VCT,North America,Caribbean,114000,Kingstown
Venezuela,VEN,South America,South America,24170000,Caracas
"Virgin Islands, British",VGB,North America,Caribbean,21000,Road Town
"Virgin Islands, U.S.",VIR,North America,Caribbean,93000,Charlotte Amalie
Vietnam,VNM,Asia,Southeast Asia,79832000,Hanoi
Vanuatu,VUT,Oceania,Melanesia,190000,Port-Vila
Wallis and Futuna,WLF,Oceania,Polynesia,15000,Mata-Utu
Samoa,WSM,Oceania,Polynesia,180000,Apia
Yemen,YEM,Asia,Middle East,18112000,Sanaa
Yugoslavia,YUG,Europe,Southern Europe,10640000,Beograd
South Africa,ZAF,Africa,Southern Africa,40377000,Pretoria
Zambia,ZMB,Africa,Eastern Africa,9169000,Lusaka
Zimbabwe,ZWE,Africa,Eastern Africa,11669000,Harare
